Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
ASTRO 1,01/08/24,14:00,01/08/24,15:15,False,Description,BRDA 1610,False
MATH 4A,01/09/24,08:00,01/09/24,09:15,False,Description,IV THEA1,False
PHYS 21,01/09/24,09:30,01/09/24,10:45,False,Description,BRDA 1640,False
INT 86VL,01/09/24,11:00,01/09/24,11:50,False,Description,HSSB 1236,False
PHYS 29,01/09/24,14:00,01/09/24,15:15,False,Description,ARTS 1356,False
ASTRO 1,01/10/24,14:00,01/10/24,15:15,False,Description,BRDA 1610,False
MATH 4A,01/10/24,18:00,01/10/24,18:50,False,Description,ILP 3205,False
MATH 4A,01/11/24,08:00,01/11/24,09:15,False,Description,IV THEA1,False
PHYS 21,01/11/24,09:30,01/11/24,10:45,False,Description,BRDA 1640,False
PHYS 29,01/11/24,15:00,01/11/24,15:50,False,Description,ILP 3310,False
ASTRO 1,01/12/24,11:00,01/12/24,11:50,False,Description,GIRV 1112,False
INT 86TK,01/12/24,13:00,01/12/24,13:50,False,Description,ILP 3209,False
PHYS 21,01/12/24,15:00,01/12/24,15:50,False,Description,GIRV 2129,False
